Filer,Filing,Id,Agency Prefix,Agency Name,Agency,Year,Period Start,Period End,Filing Date,Transaction Type,Filer Name,Department Name,Offices,Position Name,First Name,Middle Name,Last Name,Is City,Description City,Is County,Description County,Is Multi County,Description Multi County,Is State,Is Judge Or Court,Is Candidate,Candidate Election Year,Candidate Office Sought,Is Assuming,Date Assumed Office,Is Leaving,Leaving Statement Start Date,Date Left Office,Is Annual,Annual Start Date,Is Other,Description Other,Categories,Form,Internal,Schedule A1 Count,Schedule A2 Count,Schedule B Count,Schedule C1 Count,Schedule C2 Count,Schedule D Count,Schedule E Count, Comment Count
SFO-154993,172946937,c1935a81dc1a49f4b284a44c1f6d3344,SFO,City and County of San Francisco,SFO,2018,06/01/2017,05/31/2018,08/02/2018,Cover,"Michel, Aaron",Workforce Investment Board,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-31T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",,Aaron,,Michel,true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,true,05/31/2018,false,,,false,,false,,2,228,c1935a81dc1a49f4b284a44c1f6d3344,4,0,1,2,0,0,0,0
SFO-151734,172879150,714b2789e0854eaf83b42c467b6076ca,SFO,City and County of San Francisco,SFO,2018,07/04/2017,07/03/2018,08/01/2018,Cover,"Safai, Ahsha",Retirement Board,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-07-03T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Retirement Board,electionDate:N/A",,Ahsha,,Safai,true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,true,07/03/2018,false,,,false,,false,,1,228,714b2789e0854eaf83b42c467b6076ca,0,0,0,3,0,0,0,0
SFO-2010,172872270,10bef9a10df14d0892deac29eaeb5dc2,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2017,01/01/2017,12/31/2017,08/01/2018,Cover,"Samaha, Jean-Paul",Treasure Island Development Authority,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member,filerDivisionBoardDistrict:Treasure Island Development Authority,electionDate:N/A",Member,Jean-Paul,,Samaha,false,,true,San Francisco,false,,false,false,false,N/A,,false,,false,,,true,,false,,1,228,10bef9a10df14d0892deac29eaeb5dc2,1,0,3,1,0,0,0,0
SFO-154997,172848062,d6477c34963246728596a0b80b2786a4,SFO,City and County of San Francisco,SFO,2018,07/04/2017,07/03/2018,07/31/2018,Cover,"Ransom-Scott, Carolyn",Commission on Community Investment and Infrastructure,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-07-03T00:00:00.0000000-07:00,filerPosition:Commissioner,filerDivisionBoardDistrict:Commission on Community Investment and Infrastructure,electionDate:N/A",,Carolyn,,Ransom-Scott,true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,true,07/03/2018,false,,,false,,false,,1,228,d6477c34963246728596a0b80b2786a4,0,0,0,0,0,0,0,0
SFO-154631,172808258,f3ba201f7dfd4134be1ec22713416744,SFO,City and County of San Francisco,SFO,2018,01/01/2018,06/01/2018,07/31/2018,Cover,"Lang, Perry",Aging & Adult Services Commission,"leavingDate:2018-06-01T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Aging & Adult Services Commission,electionDate:N/A",,Perry,,Lang,false,,true,San Francisco,false,,false,false,false,N/A,,false,,true,01/01/2018,06/01/2018,false,,false,,1,228,f3ba201f7dfd4134be1ec22713416744,0,0,0,0,0,0,0,0
SFO-154862,172807335,2c2ebf71f31340ad93b8431684052697,SFO,City and County of San Francisco,SFO,2018,03/29/2017,03/28/2018,07/31/2018,Cover,"harris, Meena",Status of Women Commission on the,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-03-28T00:00:00.0000000-07:00,filerPosition:Commissioner,filerDivisionBoardDistrict:Status of Women Commission on the,electionDate:N/A",,Meena,,Harris,false,,true,San Francisco,false,,false,false,false,N/A,,true,03/28/2018,false,,,false,,false,,1,228,2c2ebf71f31340ad93b8431684052697,0,0,0,0,0,0,0,0
SFO-1417,172744177,07a79f1eb8e940d7a27dd4dec9febc0e,SFO,SAN FRANCISCO ETHICS COMMISSION,SFO,2017,01/01/2017,12/31/2017,07/27/2018,Cover,"McCray, Jr., James",Human Services Commission,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commission,filerDivisionBoardDistrict:Building Inspection Commission,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member,filerDivisionBoardDistrict:Building Inspection Commission,electionDate:N/A|leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Commissioner,filerDivisionBoardDistrict:Human Services Commission,electionDate:N/A",Commissioner,James,,"McCray, Jr.",true,San Francisco,true,San Francisco,false,,false,false,false,N/A,,false,,false,,,true,,false,,1,228,07a79f1eb8e940d7a27dd4dec9febc0e,0,0,0,1,0,0,0,0
SFO-154999,172715822,bae5da4da2854acab1edc816404f9664,SFO,City and County of San Francisco,SFO,2018,07/17/2017,07/16/2018,07/26/2018,Cover,"Brown, Vallie",Board of Supervisors,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-07-16T00:00:00.0000000-07:00,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A",,Vallie,,Brown,true,San Francisco ,true,San Francisco,false,,false,false,false,N/A,,true,07/16/2018,false,,,false,,false,,1,228,bae5da4da2854acab1edc816404f9664,1,0,1,0,0,0,0,0
SFO-1656,172690669,e9a5e79c5acb4b37ba52d2adffb58452,SFO,City and County of San Francisco,SFO,2018,07/11/2017,07/10/2018,07/25/2018,Cover,"Melara, Sonia",Status of Women Commission on the,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-07-10T00:00:00.0000000-07:00,filerPosition:Commissioner,filerDivisionBoardDistrict:Status of Women Commission on the,electionDate:N/A",,Sonia,,Melara,true,San Francisco,false,,true,San Francisco,false,false,false,N/A,,true,07/10/2018,false,,,false,,false,,1,228,e9a5e79c5acb4b37ba52d2adffb58452,1,0,0,2,0,0,0,0
SFO-154907,172650048,58905a4a10234b76b30c3e23f249c6ac,SFO,City and County of San Francisco,SFO,2018,05/03/2017,05/02/2018,07/23/2018,Cover,"Goebel, Bryan",Local Agency Formation Commission,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-02T00:00:00.0000000-07:00,filerPosition:Executive Officer,filerDivisionBoardDistrict:Local Agency Formation Commission,electionDate:N/A",,Bryan,,Goebel,false,,true,San Francisco,false,,false,false,false,N/A,,true,05/02/2018,false,,,false,,false,,1,228,58905a4a10234b76b30c3e23f249c6ac,0,0,0,3,2,0,0,0
