Filer Name,Department Name,Position Name,Offices,Period Start,Period End,Filing Date,Filer,Filing,Id,Transaction Type,Name Of Business Entity,Business Description,Fair Market Value,Fair Market Value As Range,Nature Of Investment,Nature Of Investment Other Description,Partnership Amount,Partnership Amount As Range,Date Acquired,Date Disposed
"Michel, Aaron",Workforce Investment Board,,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-31T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",06/01/2017,05/31/2018,08/02/2018,SFO-154993,172946937,dc5602b8e4a343358c61a546ec3905c4,ScheduleA1,Schwab Value Advantage,Bank investment vehicle,2000.00,"$2,000 - $10,000",Stock,,0.00,Unset,,
"Michel, Aaron",Workforce Investment Board,,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-31T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",06/01/2017,05/31/2018,08/02/2018,SFO-154993,172946937,ed7f82c11f294c0990a29ead0bd570a7,ScheduleA1,Exxon Mobile,Oil and gas,10000.00,"$10,001 - $100,000",Stock,,0.00,Unset,,
"Michel, Aaron",Workforce Investment Board,,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-31T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",06/01/2017,05/31/2018,08/02/2018,SFO-154993,172946937,4b6ed495907f4e0282846850accb4f76,ScheduleA1,KKR,Holding KKR &CO INC CL A.,2000.00,"$2,000 - $10,000",Stock,,0.00,Unset,09/22/2014,
"Michel, Aaron",Workforce Investment Board,,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-05-31T00:00:00.0000000-07:00,filerPosition:Member,filerDivisionBoardDistrict:Workforce Investment Board,electionDate:N/A",06/01/2017,05/31/2018,08/02/2018,SFO-154993,172946937,8ca68550d8cf47d4a5e5ec973306655d,ScheduleA1,Genentech,Pharma,10000.00,"$10,001 - $100,000",Stock,,0.00,Unset,,
"Samaha, Jean-Paul",Treasure Island Development Authority,Member,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Member,filerDivisionBoardDistrict:Treasure Island Development Authority,electionDate:N/A",01/01/2017,12/31/2017,08/01/2018,SFO-2010,172872270,3e712f51472f4d1cae88f7bb151cbbca,ScheduleA1,Merril Lynch,Retirement,100000.00,"$100,001 - $1,000,000",Other,IRA,0.00,Unset,,
"Brown, Vallie",Board of Supervisors,,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-07-16T00:00:00.0000000-07:00,filerPosition:Supervisor,filerDivisionBoardDistrict:Board of Supervisors,electionDate:N/A",07/17/2017,07/16/2018,07/26/2018,SFO-154999,172715822,e299c047507b41fc988ea535739dff09,ScheduleA1,Edward Jones ,Investment firm,10000.00,"$10,001 - $100,000",Stock,,0.00,Unset,,
"Melara, Sonia",Status of Women Commission on the,,"leavingDate:None,filerAgency:City and County of San Francisco,assumingDate:2018-07-10T00:00:00.0000000-07:00,filerPosition:Commissioner,filerDivisionBoardDistrict:Status of Women Commission on the,electionDate:N/A",07/11/2017,07/10/2018,07/25/2018,SFO-1656,172690669,65ca1bc3070048c0843e26f1d406db6e,ScheduleA1,Ameriprice Financial,Brokereage Firm,100000.00,"$100,001 - $1,000,000",Other,Stocks and Annuities,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,b367b07ffeb045a6ad71983dfca18f8b,ScheduleA1,Viridis,Software Company,100000.00,"$100,001 - $1,000,000",Other,Convertible Note,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,c2c168e13f9e47139d6edaac7566ef30,ScheduleA1,POSIQ,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,58b4ea5899554113acc55fea1a62ec30,ScheduleA1,Nor1,Software Company,10000.00,"$10,001 - $100,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,b5c4dcd397b149ebb638c438c2c0ce3c,ScheduleA1,Traxo         ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,a86c5f8cce1a4cc48065c98fb1074baa,ScheduleA1,Spherical       ,Software Company,2000.00,"$2,000 - $10,000",Other,Convertible note,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,124267b21d0346c7a39da37e82bb89ef,ScheduleA1,Uplift,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,4f3ec96df54a47b78418b71f5369491f,ScheduleA1,Sonder,Software Company,1000000.00,"Over $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,ad81b676edf4451f92839ab402b568be,ScheduleA1,Switchfly      ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,78e049b22f6b4007a8c363ec477218bb,ScheduleA1,Adara Media        ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,2e55083dcf464bc5ba264cb2338496e6,ScheduleA1,Duetto Research     ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
"Farrell, Mark",Mayor Office of the,,"leavingDate:2018-07-11T00:00:00.0000000-07:00,filerAgency:City and County of San Francisco,assumingDate:None,filerPosition:Mayor,filerDivisionBoardDistrict:Mayor Office of the,electionDate:N/A",01/23/2018,07/11/2018,07/11/2018,SFO-151839,172470840,d7993f98a8a64fecb3d68e9306bc4f35,ScheduleA1,Liftopia      ,Software Company,100000.00,"$100,001 - $1,000,000",Stock,,0.00,Unset,,
